,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
0,0,0,Bl,L,Chase,chase_pred_subt0_Black_Posx_350.webm,v0,0_Bl_L_Chase_v0
1,1,0,Bl,L,Chase,chase_pred_subt0_Black_Posx_350_var0.webm,v1,0_Bl_L_Chase_v1
2,2,0,Bl,L,Chase,chase_pred_subt0_Black_Posx_350_var1.webm,v2,0_Bl_L_Chase_v2
3,3,0,Bl,R,Chase,chase_pred_subt0_Black_Posx_850.webm,v0,0_Bl_R_Chase_v0
4,4,0,Bl,R,Chase,chase_pred_subt0_Black_Posx_850_var0.webm,v1,0_Bl_R_Chase_v1
5,5,0,Bl,R,Chase,chase_pred_subt0_Black_Posx_850_var1.webm,v2,0_Bl_R_Chase_v2
6,6,30,Bl,L,Chase,chase_pred_subt30_Black_Posx_350.webm,v0,30_Bl_L_Chase_v0
7,7,30,Bl,L,Chase,chase_pred_subt30_Black_Posx_350_var0.webm,v1,30_Bl_L_Chase_v1
8,8,30,Bl,L,Chase,chase_pred_subt30_Black_Posx_350_var1.webm,v2,30_Bl_L_Chase_v2
9,9,30,Bl,R,Chase,chase_pred_subt30_Black_Posx_850.webm,v0,30_Bl_R_Chase_v0
10,10,30,Bl,R,Chase,chase_pred_subt30_Black_Posx_850_var0.webm,v1,30_Bl_R_Chase_v1
11,11,30,Bl,R,Chase,chase_pred_subt30_Black_Posx_850_var1.webm,v2,30_Bl_R_Chase_v2
12,12,60,Bl,L,Chase,chase_pred_subt60_Black_Posx_350.webm,v0,60_Bl_L_Chase_v0
13,13,60,Bl,L,Chase,chase_pred_subt60_Black_Posx_350_var0.webm,v1,60_Bl_L_Chase_v1
14,14,60,Bl,L,Chase,chase_pred_subt60_Black_Posx_350_var1.webm,v2,60_Bl_L_Chase_v2
15,15,60,Bl,R,Chase,chase_pred_subt60_Black_Posx_850.webm,v0,60_Bl_R_Chase_v0
16,16,60,Bl,R,Chase,chase_pred_subt60_Black_Posx_850_var0.webm,v1,60_Bl_R_Chase_v1
17,17,60,Bl,R,Chase,chase_pred_subt60_Black_Posx_850_var1.webm,v2,60_Bl_R_Chase_v2
18,18,90,Bl,L,Chase,chase_pred_subt90_Black_Posx_350.webm,v0,90_Bl_L_Chase_v0
